date,sst
2024-01-01,28.55
2024-01-02,28.54
2024-01-03,28.52
2024-01-04,28.48
2024-01-05,28.41
2024-01-06,28.37
2024-01-07,28.37
2024-01-08,28.4
2024-01-09,28.41
2024-01-10,28.39
2024-01-11,28.39
2024-01-12,28.37
2024-01-13,28.34
2024-01-14,28.31
2024-01-15,28.27
2024-01-16,28.22
2024-01-17,28.19
2024-01-18,28.17
2024-01-19,28.15
2024-01-20,28.15
2024-01-21,28.14
2024-01-22,28.13
2024-01-23,28.14
2024-01-24,28.16
2024-01-25,28.16
2024-01-26,28.18
2024-01-27,28.19
2024-01-28,28.2
2024-01-29,28.22
2024-01-30,28.28
2024-01-31,28.35
2024-02-01,28.38
2024-02-02,28.36
2024-02-03,28.31
2024-02-04,28.26
2024-02-05,28.22
2024-02-06,28.19
2024-02-07,28.18
2024-02-08,28.2
2024-02-09,28.19
2024-02-10,28.18
2024-02-11,28.15
2024-02-12,28.15
2024-02-13,28.16
2024-02-14,28.17
2024-02-15,28.18
2024-02-16,28.19
2024-02-17,28.24
2024-02-18,28.28
2024-02-19,28.3
2024-02-20,28.28
2024-02-21,28.25
2024-02-22,28.22
2024-02-23,28.16
2024-02-24,28.16
2024-02-25,28.17
2024-02-26,28.18
2024-02-27,28.21
2024-02-28,28.27
2024-02-29,28.35
2024-03-01,28.4
2024-03-02,28.43
2024-03-03,28.44
2024-03-04,28.44
2024-03-05,28.45
2024-03-06,28.46
2024-03-07,28.45
2024-03-08,28.43
2024-03-09,28.38
2024-03-10,28.35
2024-03-11,28.3
2024-03-12,28.25
2024-03-13,28.23
2024-03-14,28.21
2024-03-15,28.19
2024-03-16,28.22
2024-03-17,28.29
2024-03-18,28.39
2024-03-19,28.48
2024-03-20,28.55
2024-03-21,28.59
2024-03-22,28.58
2024-03-23,28.52
2024-03-24,28.44
2024-03-25,28.39
2024-03-26,28.35
2024-03-27,28.4
2024-03-28,28.51
2024-03-29,28.62
2024-03-30,28.74
2024-03-31,28.87
2024-04-01,28.93
2024-04-02,28.94
2024-04-03,28.9
2024-04-04,28.85
2024-04-05,28.75
2024-04-06,28.68
2024-04-07,28.64
2024-04-08,28.57
2024-04-09,28.48
2024-04-10,28.43
2024-04-11,28.42
2024-04-12,28.41
2024-04-13,28.39
2024-04-14,28.37
2024-04-15,28.42
2024-04-16,28.51
2024-04-17,28.59
2024-04-18,28.66
2024-04-19,28.68
2024-04-20,28.69
2024-04-21,28.68
2024-04-22,28.73
2024-04-23,28.77
2024-04-24,28.77
2024-04-25,28.7
2024-04-26,28.62
2024-04-27,28.54
2024-04-28,28.48
2024-04-29,28.42
2024-04-30,28.41
2024-05-01,28.45
2024-05-02,28.46
2024-05-03,28.45
2024-05-04,28.39
2024-05-05,28.33
2024-05-06,28.3
2024-05-07,28.26
2024-05-08,28.2
2024-05-09,28.14
2024-05-10,28.09
2024-05-11,28.08
2024-05-12,28.12
2024-05-13,28.14
2024-05-14,28.14
2024-05-15,28.14
2024-05-16,28.14
2024-05-17,28.11
2024-05-18,28.09
2024-05-19,28.06
2024-05-20,28.05
2024-05-21,28.04
2024-05-22,28.03
2024-05-23,28.02
2024-05-24,27.99
2024-05-25,27.97
2024-05-26,27.94
2024-05-27,27.92
2024-05-28,27.89
2024-05-29,27.85
2024-05-30,27.83
2024-05-31,27.89
2024-06-01,27.94
2024-06-02,27.99
2024-06-03,28.01
2024-06-04,27.98
2024-06-05,27.92
2024-06-06,27.85
2024-06-07,27.8
2024-06-08,27.8
2024-06-09,27.78
2024-06-10,27.76
2024-06-11,27.75
2024-06-12,27.78
2024-06-13,27.8
2024-06-14,27.8
2024-06-15,27.82
2024-06-16,27.84
2024-06-17,27.86
2024-06-18,27.9
2024-06-19,27.9
2024-06-20,27.91
2024-06-21,27.94
2024-06-22,27.93
2024-06-23,27.93
2024-06-24,27.95
2024-06-25,27.97
2024-06-26,27.98
2024-06-27,27.96
2024-06-28,27.95
2024-06-29,27.91
2024-06-30,27.85
2024-07-01,27.83
2024-07-02,27.81
2024-07-03,27.8
2024-07-04,27.8
2024-07-05,27.78
2024-07-06,27.73
2024-07-07,27.67
2024-07-08,27.65
2024-07-09,27.66
2024-07-10,27.67
2024-07-11,27.67
2024-07-12,27.69
2024-07-13,27.65
2024-07-14,27.6
2024-07-15,27.54
2024-07-16,27.49
2024-07-17,27.41
2024-07-18,27.34
2024-07-19,27.28
2024-07-20,27.28
2024-07-21,27.31
2024-07-22,27.32
2024-07-23,27.31
2024-07-24,27.27
2024-07-25,27.19
2024-07-26,27.09
2024-07-27,26.97
2024-07-28,26.84
2024-07-29,26.75
2024-07-30,26.77
2024-07-31,26.79
2024-08-01,26.83
2024-08-02,26.9
2024-08-03,26.97
2024-08-04,27.02
2024-08-05,27.03
2024-08-06,27.01
2024-08-07,26.98
2024-08-08,26.96
2024-08-09,26.91
2024-08-10,26.89
2024-08-11,26.84
2024-08-12,26.77
2024-08-13,26.73
2024-08-14,26.7
2024-08-15,26.7
2024-08-16,26.7
2024-08-17,26.7
2024-08-18,26.7
2024-08-19,26.71
2024-08-20,26.74
2024-08-21,26.76
2024-08-22,26.78
2024-08-23,26.75
2024-08-24,26.74
2024-08-25,26.68
2024-08-26,26.6
2024-08-27,26.57
2024-08-28,26.58
2024-08-29,26.6
2024-08-30,26.61
2024-08-31,26.61
2024-09-01,26.62
2024-09-02,26.64
2024-09-03,26.64
2024-09-04,26.62
2024-09-05,26.6
2024-09-06,26.6
2024-09-07,26.6
2024-09-08,26.56
2024-09-09,26.51
2024-09-10,26.5
2024-09-11,26.51
2024-09-12,26.51
2024-09-13,26.5
2024-09-14,26.45
2024-09-15,26.37
2024-09-16,26.28
2024-09-17,26.2
2024-09-18,26.15
2024-09-19,26.13
2024-09-20,26.17
2024-09-21,26.26
2024-09-22,26.35
2024-09-23,26.41
2024-09-24,26.45
2024-09-25,26.47
2024-09-26,26.44
2024-09-27,26.43
2024-09-28,26.41
2024-09-29,26.41
2024-09-30,26.39
2024-10-01,26.37
2024-10-02,26.35
2024-10-03,26.32
2024-10-04,26.32
2024-10-05,26.31
2024-10-06,26.3
2024-10-07,26.27
2024-10-08,26.29
2024-10-09,26.33
2024-10-10,26.34
2024-10-11,26.34
2024-10-12,26.34
2024-10-13,26.37
2024-10-14,26.44
2024-10-15,26.49
2024-10-16,26.49
2024-10-17,26.47
2024-10-18,26.45
2024-10-19,26.45
2024-10-20,26.45
2024-10-21,26.43
2024-10-22,26.4
2024-10-23,26.34
2024-10-24,26.29
2024-10-25,26.26
2024-10-26,26.27
2024-10-27,26.3
2024-10-28,26.34
2024-10-29,26.43
2024-10-30,26.49
2024-10-31,26.55
2024-11-01,26.57
2024-11-02,26.55
2024-11-03,26.52
2024-11-04,26.5
2024-11-05,26.53
2024-11-06,26.59
2024-11-07,26.64
2024-11-08,26.64
2024-11-09,26.62
2024-11-10,26.64
2024-11-11,26.7
2024-11-12,26.72
2024-11-13,26.73
2024-11-14,26.75
2024-11-15,26.74
2024-11-16,26.73
2024-11-17,26.73
2024-11-18,26.73
2024-11-19,26.74
2024-11-20,26.75
2024-11-21,26.71
2024-11-22,26.66
2024-11-23,26.62
2024-11-24,26.59
2024-11-25,26.59
2024-11-26,26.61
2024-11-27,26.62
2024-11-28,26.61
2024-11-29,26.61
2024-11-30,26.58
2024-12-01,26.54
2024-12-02,26.48
2024-12-03,26.44
2024-12-04,26.41
2024-12-05,26.39
2024-12-06,26.34
2024-12-07,26.31
2024-12-08,26.26
2024-12-09,26.21
2024-12-10,26.14
2024-12-11,26.11
2024-12-12,26.06
2024-12-13,26.02
2024-12-14,25.95
2024-12-15,25.87
2024-12-16,25.81
2024-12-17,25.77
2024-12-18,25.76
2024-12-19,25.73
2024-12-20,25.72
2024-12-21,25.71
2024-12-22,25.67
2024-12-23,25.61
2024-12-24,25.56
2024-12-25,25.53
2024-12-26,25.54
2024-12-27,25.58
2024-12-28,25.62
2024-12-29,25.67
2024-12-30,25.73
2024-12-31,25.8
2025-01-01,25.85
2025-01-02,25.87
2025-01-03,25.86
2025-01-04,25.81
2025-01-05,25.77
2025-01-06,25.76
2025-01-07,25.77
2025-01-08,25.77
2025-01-09,25.75
2025-01-10,25.74
2025-01-11,25.77
2025-01-12,25.84
2025-01-13,25.9
2025-01-14,25.91
2025-01-15,25.87
